Area,Body type:,Brand:,Condition:,Engine capacity:,Fuel type:,Kilometers run:,Listing Title,Model:,Posted On,Price,Registration year:,Sold By,Subarea,Transmission:,Trim / Edition:,URL,Views,Year of Manufacture:
"Dhaka
2673
views",SUV / 4x4,Toyota,Reconditioned,"2,500 cc",Hybrid,"46,240 km",Toyota RAV4 G HYBRID URBAN GREY 2021,RAV4,28/07/2025 11:01,"Tk 6,850,000",,Company,Baridhara,Automatic,G HYBRID URBAN GREY,https://bikroy.com/en/ad/toyota-rav4-g-hybrid-urban-grey-2021-for-sale-dhaka-3,2673,2021
"Dhaka
302
views",SUV / 4x4,Toyota,Reconditioned,"2,000 cc",Octane,"30,288 km",Toyota Harrier Z PKG BLACK OCTANE 2021,Harrier,28/07/2025 11:01,"Tk 8,330,000",,Company,Baridhara,Automatic,Z PKG BLACK OCTANE,https://bikroy.com/en/ad/toyota-harrier-z-pkg-black-octane-2021-for-sale-dhaka,302,2021
Dhaka,SUV / 4x4,Toyota,Reconditioned,"1,800 cc","Hybrid, Octane",5 km,Toyota Corolla Cross Z LEATHER GREY COLOR 2025,Corolla Cross,28/07/2025 11:01,"Tk 5,800,000",,Company,Baridhara,Automatic,Z LEATHER GREY COLOR,https://bikroy.com/en/ad/toyota-corolla-cross-z-leather-grey-color-2025-for-sale-dhaka-1,,2025
"Dhaka
474
views",SUV / 4x4,Toyota,Reconditioned,"1,800 cc","Hybrid, Octane",4 km,Toyota Corolla Cross Z LEATHER GREY COLOR 2024,Corolla Cross,28/07/2025 11:01,"Tk 5,620,000",,Company,Baridhara,Automatic,Z LEATHER GREY COLOR,https://bikroy.com/en/ad/toyota-corolla-cross-z-leather-grey-color-2024-for-sale-dhaka-2,474,2024
"Dhaka
278
views",Saloon,Toyota,Reconditioned,"1,800 cc","Hybrid, Octane","39,285 km",Toyota Corolla WXB HB PEARL COLOR 2020,Corolla,28/07/2025 11:01,"Tk 3,470,000",,Company,Baridhara,Automatic,WXB HB PEARL COLOR,https://bikroy.com/en/ad/toyota-corolla-wxb-hb-pearl-color-2020-for-sale-dhaka-1,278,2020
Dhaka,Saloon,Toyota,Reconditioned,"1,800 cc","Hybrid, Octane","73,520 km",Toyota Corolla G-X PKG SILVER COLOR 2020,Corolla,28/07/2025 11:01,"Tk 2,860,000",,Company,Baridhara,Automatic,G-X PKG SILVER COLOR,https://bikroy.com/en/ad/toyota-corolla-g-x-pkg-silver-color-2020-for-sale-dhaka-1,,2020
Dhaka,Estate,Toyota,Reconditioned,"1,800 cc","Hybrid, Octane","54,775 km",Toyota Corolla WXB HB BLACK COLOR 2020,Corolla,28/07/2025 11:01,"Tk 3,130,000",,Company,Baridhara,Automatic,WXB HB BLACK COLOR,https://bikroy.com/en/ad/toyota-corolla-wxb-hb-black-color-2020-for-sale-dhaka,,2020
"Dhaka
402
views",Estate,Toyota,Reconditioned,"1,800 cc","Hybrid, Octane","287,630 km",Toyota Corolla WXB HB PEARL COLOR 2020,Corolla,28/07/2025 11:01,"Tk 3,370,000",,Company,Baridhara,Automatic,WXB HB PEARL COLOR,https://bikroy.com/en/ad/toyota-corolla-wxb-hb-pearl-color-2020-for-sale-dhaka-2,402,2020
"Dhaka
309
views",Saloon,Toyota,Reconditioned,"1,800 cc","Hybrid, Octane","39,285 km",Toyota Corolla WXB HB PEARL COLOR 2019,Corolla,28/07/2025 11:01,"Tk 3,360,000",,Company,Baridhara,Automatic,WXB HB PEARL COLOR,https://bikroy.com/en/ad/toyota-corolla-wxb-hb-pearl-color-2019-for-sale-dhaka-1,309,2019
"Dhaka
370
views",Saloon,Toyota,Reconditioned,"1,800 cc","Hybrid, Octane","40,125 km",Toyota Corolla G-X PKG SILVER COLOR 2020,Corolla,28/07/2025 11:01,"Tk 2,870,000",,Company,Baridhara,Automatic,G-X PKG SILVER COLOR,https://bikroy.com/en/ad/toyota-corolla-g-x-pkg-silver-color-2020-for-sale-dhaka,370,2020
